country,name,url
Argentina,"National Decree No. 995/91, Creation of the National Commission on Space Activities (28 May 1991)",http://www.conae.gov.ar/images/legislacion/l99591.pdf
Argentina,"National Decree No. 125/95, Establishment of the National Registry of Objects Launched into Outer Space (25 July 1995)",http://www.conae.gov.ar/images/legislacion/l12595.pdf
Australia,"Space Activities Act 1998 (No. 123, 1998) (as amended, taking into account amendments up to Act No. 8 of 2010)",http://www.comlaw.gov.au/Details/C2010C00193
Australia,Space Activities Regulations 2001),http://www.comlaw.gov.au/Details/F2004C00906
Austria,Authorization of Space Activities and the Estabishment of a National Space Registry (Austrian Outer Space Act),http://www.ris.bka.gv.at/Dokument.wxe?Abfrage=BgblAuth&Dokumentnummer=BGBLA_2011_I_132
Belgium,"Law on the Activities of Launching, Flight Operations or Guidance of Space Objects
  ",http://www.belspo.be/belspo/space/doc/beLaw/Loi_en.pdf
Brazil,"Law No. 8.854 of 10 February 1994, Law Establishing the Brazilian Space Agency
  ",http://www.planalto.gov.br/ccivil_03/leis/L8854.htm
Canada,"Canadian Space Agency Act
  ",http://laws.justice.gc.ca/eng/acts/C-23.2/
Canada,"Canadian Aviation Regulations: sections 602.43 and 602.44
  ",http://laws-lois.justice.gc.ca/eng/regulations/SOR-96-433/page-180.html#docCont
Canada,"Civil International Space Station Agreement Implementation Act (S.C. 1999, c. 35)
  ",http://laws-lois.justice.gc.ca/eng/acts/C-31.3/index.html
Canada,"Remote Sensing Space Systems Act (S.C. 2005, c. 45)
  ",http://laws-lois.justice.gc.ca/eng/acts/R-5.4/
Canada,"Remote Sensing Space Systems Regulations (SOR/2007-66)
  ",http://laws-lois.justice.gc.ca/eng/regulations/SOR-2007-66/index.html
Canada,"Radiocommunication Act (R.S.C., 1985, c. R-2)
  ",http://laws-lois.justice.gc.ca/eng/acts/R-2/
Chile,"Supreme Decree No. 338: Establishment of a Presidential Advisory Committee known as the Chilean Space Agency
  ",http://www.unoosa.org/oosa/en/ourwork/spacelaw/nationalspacelaw/chile/supreme_decree_338_2001E.html
China,"China's Space Activities (White Paper of 2003)
  ",http://www.cnsa.gov.cn/n615709/n620681/n771967/69198.html
France,"Decree 62-153, Regulations Relating to the CNES",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000299367&categorieLien=cid
France,"Law No. 61-1382, 20 December 1961 Statute of the Centre National d'Etudes Spatiales (CNES)",http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=CA3F95A6A00137FDA02C410E1EDAE268.tpdjo11v_2?cidTexte=JORFTEXT000000512451&dateTexte=19611220
France,"Decree 89-508 & Decree 90-1102 , concerning the Space Committee",http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=79784140F80990AD5C3B4FEECB19033B.tpdjo12v_1?cidTexte=JORFTEXT000021533568&categorieLien=id
Germany,"Law governing the transfer of responsibilities for space activities
  ",http://www.unoosa.org/oosa/en/ourwork/spacelaw/nationalspacelaw/germany/raueg_1998G.html
Germany,Act to give Protection against the Security Risk to the Federal Republic of Germany by the Dissemination of High-Grade Earth Remote Sensing Data,http://www.unoosa.org/documents/doc/spacelaw/national/germany-satdsigGE.doc
Germany,Law governing the transfer of administrative functions in the sector of outer space activities,http://www.unoosa.org/documents/pdf/spacelaw/national/Germany_RAUeG_EN.pdf
Germany,Satellite Data Security Act - Terminology,http://www.unoosa.org/documents/pdf/spacelaw/national/Germany_SatDSiG_Terminology.pdf
Germany,Satellite Data Security Act,http://www.unoosa.org/documents/pdf/spacelaw/national/Germany_SatDSiG_CN.pdf
Japan,"Law Concerning The National Space Development Agency Of Japan (Law No. 50 of June 23, 1969, as amended)
  ",http://www.unoosa.org/oosa/en/ourwork/spacelaw/nationalspacelaw/japan/nasda_1969E.html
Kazakhstan,"Law of the Republic of Kazakhstan on Space Activities (No.528-IV of 6 January 2012)
  ",http://www.unoosa.org/documents/pdf/spacelaw/national/kazakhstan/528-IV_2012-01-06E.pdf
Netherlands,Rules Concerning Space Activities and the Establishment of a Registry of Space Objects (Space Activities Act),http://www.unoosa.org/oosa/en/ourwork/spacelaw/nationalspacelaw/netherlands/space_activities_actE.html
Netherlands,"Decree of 13 November 2007, containing rules with regard to a registry of information concerning space objects (Space Objects Registry Decree)",http://www.unoosa.org/documents/doc/spacelaw/national/netherlands/decree-2007-11-13E.doc
Netherlands,"Order of the Minister of Economic Affairs dated 7 February 2008, no. WJZ 7119929, containing rules governing licence applications for the performance of space activities and the registration of space objects",http://www.unoosa.org/documents/doc/spacelaw/national/netherlands/order-wjz7119929_2008_02_07E.doc
Netherlands,"Form for registration of space objects (Annex 1 by article 4 of the "" 
  Regeling aanvraag vergunning ruimtevaartactiviteiten en registratie"")",http://www.unoosa.org/documents/doc/spacelaw/national/netherlands/order-wjz7119929_2008_02_07E.doc
Netherlands,"Order of the Minister of Economic Affairs dated 16 April 2010, no. WJZ/10020347, containing amendments to rules governing licence applications for the performance of space activities and the registration of space objects",http://www.unoosa.org/documents/doc/spacelaw/national/netherlands/wjz10020347_2010-04-16E.doc
Netherlands,Decree of 19 January 2015 expanding the scope of the Space Activities Act to include the control of unguided satellites (Unguided Satellites Decree),http://www.unoosa.org/documents/pdf/spacelaw/national/Netherlands_BZ116174A.pdf
